,tweet_id,sentiment,author,content
3308,1957751306,sadness,dayeee,@b4dm1n7on I heard that you can't make it!!
6495,1961281805,sadness,bonyay,Leaving NOLA today  Counting down the seconds 'til I start crying. Love this place so much.
30452,1751607985,sadness,piratescribe,@haldira awww too bad I won't be there - I'd entertain the thought of entering
11559,1963277074,sadness,sjdvda,"@shawin That's the problem. The earphones I get here don't last more than 2 months, no matter what brand or price."
14447,1964538625,sadness,thehoodnerd,Lost a battle with the couch....phone has been blowing up
28737,1750964239,sadness,luna_x,"Slept in, woke up with an iced coffee, lazed about &amp; went out for a late lunch with the BF. It's been a sweet little laid-back Saturday."
8106,1962020555,sadness,aritav10,Im here at work super bored
17675,1965737976,sadness,kissthepastxo,"whatever. i give up, my phones about to die anyway.  next time"
35113,1753030678,sadness,freakingepic,So tired and I have to work till 10:30 tonight!    Happy mothers day to everyone too  http://tinyurl.com/qu62bl
7629,1961818197,sadness,kaitlinjeter,just found out i have strep
11351,1963190684,sadness,yoyomo,Stupid freshmen ruined theatre class.. Now we don't get to play warm-up games for the rest of the school year
1620,1957353973,sadness,Mr_GaGa,@msalonen I feel like a Truck just hit me too! I also Resemble a man hit by a truck!
3493,1958059684,sadness,ilovemysister,Ugh 2 days whatever to somewhere
2455,1957548686,sadness,samanthaaharrel,i'm so mad that im going to be missing the maine tomorrow because it takes all effing day to fly to florida
16716,1965428854,sadness,maziiinha_,"I'm very sad  Show do McFly nesse exato momento, e eu aqui..."
39446,1753821244,sadness,cavorting,@MrNutt blues for me please
10460,1962910674,sadness,thethingiskat,@TheHebrican can we trade weather? it's all gloomy today in la.
18844,1966091942,sadness,misskittymarie,"@ss1271 yes, that's what I meant... I don't have anything to turn it into Hirigana, though."
5328,1960756219,sadness,rolltiderolling,what a bad day 1 of my close relative has died so i wont be going to florida
8618,1962234127,sadness,edlee,saying goodbye to @jesshowe for a year  she's been awesome in helping me fit into the team at Veritas!
10750,1963001495,sadness,bwilsxo,Done with geology!! But I'm really missing my favorite sisters! Especially because they can't go to banquet tonight
18146,1965896198,sadness,LilBitSassy,@glennbeck Missed your show tonight   Just HAD to go up to Lake Erie and enjoy the quiet!
32106,1752191870,sadness,bicoastalite,@RaceSpeed You are so welcome!!!  Keep 'em coming!
37619,1753517660,sadness,janinealino,"uploading photos.   (on: Facebook, &amp; Friendster... Myspace later.)"
7977,1961968715,sadness,Anyelday,@SweetHomeBirth  link isn't working
11869,1963374353,sadness,Wemblore,"I miss my Nipissing pitas  Good thing we've got a Euphoria in Barrie, 'cause I would never survive summer without my pitas AND smoothies!!"
13522,1964058292,sadness,maxlagos,"@gi_ri_ja  it sucks, doesn't it?"
15575,1964885130,sadness,Carolina2676,Aaarrrgh! I sooo want to see @johnlegend at MSG in August but dammit the decent seats are expensive. Booooooo recession!
6090,1961143292,sadness,JoshBerry26,OH. I am just so tired.
14134,1964370205,sadness,FindingTreasure,really is missing her daughters in Haiti!  Wishing i could go back.
12417,1963569137,sadness,PixelScum,"@JhonenV I need horror to be lovecraftian actually, not enough weird horror movies."
5572,1960911358,sadness,HiBee,Moving in the rain is not fun. Last day in the Hamptons
13783,1964204730,sadness,BryanBej,"@LexieLovesgreys well sadly I live in the most boring city in the USA, so there is nothing to do here."
125,1956996730,sadness,Rowch,wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54
7554,1961760225,sadness,noelleee,"Do fish feel pain? Yes, says a new study.  http://is.gd/Jbcg"
3829,1958132112,sadness,Christine_May,"@kev_watson   Sorry address was wrong. where I put samuel in the address, it should be just sam. I am having a stupid brain day today."
3525,1958066861,sadness,sarausa5,@DonnieWahlberg and now I have to shut computer down and get ready to go home from work....what a bummer.
5619,1960950654,sadness,roaringrepub,@Jenfidel Thanks I decided to just give up on my old HQ and go with this account. Scoundrels won
19699,1966328331,sadness,xocrayon,i got over the crush issue but now tomorrow my friend is going to india for the whole summer  im back to being sad.
12140,1963479357,sadness,tocotronica,"@random_nexus he has to have a new suitcase, but he is just so bloody indecicive, everytime he wants to buy something it takes HOURS"
18318,1965937831,sadness,CeeCeeJayez,leather jackets=uncomfortable....not my thing
11200,1963143902,sadness,JudeBrian,"is locked out for the house! shit, thank god there's internet..."
8712,1962264095,sadness,Mags786,*eekkk* back to work
